date,tc,pres,mois_de_l_annee
2022-01-14T16:00:00+01:00,7.5,101360,1
2022-10-27T08:00:00+02:00,17.900000000000034,100390,10
2022-01-15T22:00:00+01:00,-0.5999999999999659,100970,1
2022-09-06T08:00:00+02:00,22.100000000000023,99870,9
2022-11-04T01:00:00+01:00,11.600000000000023,99920,11
2022-05-17T14:00:00+02:00,29.600000000000023,100000,5
2022-10-04T14:00:00+02:00,24.100000000000023,100420,10
2022-11-30T10:00:00+01:00,4.2000000000000455,100160,11
2022-05-25T23:00:00+02:00,15.900000000000034,100820,5
2022-01-17T01:00:00+01:00,-0.39999999999997726,101740,1
2022-07-17T23:00:00+02:00,30.200000000000045,100020,7
2022-06-12T08:00:00+02:00,20.30000000000001,100430,6
2022-06-17T02:00:00+02:00,26.100000000000023,100180,6
2022-10-03T14:00:00+02:00,21.80000000000001,100530,10
2022-05-28T08:00:00+02:00,15.800000000000011,100120,5
2022-06-17T05:00:00+02:00,21.200000000000045,100240,6
2022-01-08T22:00:00+01:00,10,99740,1
2022-06-20T14:00:00+02:00,26.900000000000034,99410,6
2022-11-30T04:00:00+01:00,3,100210,11
2022-07-01T14:00:00+02:00,21.5,100350,7
2022-07-03T14:00:00+02:00,28.400000000000034,100190,7
2022-07-04T11:00:00+02:00,21,100320,7
2022-07-07T14:00:00+02:00,28,100820,7
2022-07-12T14:00:00+02:00,34.200000000000045,100180,7
2022-05-29T02:00:00+02:00,16.900000000000034,99460,5
2022-05-30T14:00:00+02:00,24,99130,5
2022-06-01T05:00:00+02:00,17.5,99540,6
2022-06-22T02:00:00+02:00,22.100000000000023,98940,6
2022-04-04T14:00:00+02:00,9.400000000000034,100360,4
2022-04-07T17:00:00+02:00,18,99550,4
2022-04-08T17:00:00+02:00,21.100000000000023,99110,4
2022-04-16T08:00:00+02:00,11.100000000000023,100520,4
2022-04-11T08:00:00+02:00,12.100000000000023,99270,4
2022-03-19T19:00:00+01:00,11.900000000000034,100810,3
2022-05-06T02:00:00+02:00,13.5,100630,5
2022-05-08T08:00:00+02:00,14.200000000000045,100350,5
2022-05-09T05:00:00+02:00,12,100390,5
2022-04-21T05:00:00+02:00,9,99110,4
2022-04-23T17:00:00+02:00,10.300000000000011,97890,4
2022-05-04T05:00:00+02:00,13.100000000000023,100060,5
2022-04-02T17:00:00+02:00,7.7000000000000455,100020,4
2022-03-31T05:00:00+02:00,9.300000000000011,98440,3
2022-03-28T14:00:00+02:00,19.80000000000001,100230,3
2022-04-19T14:00:00+02:00,12.900000000000034,99610,4
2022-02-25T01:00:00+01:00,8.700000000000045,100980,2
2022-03-02T10:00:00+01:00,10.900000000000034,100330,3
2022-03-02T19:00:00+01:00,9.600000000000023,100360,3
2022-03-08T04:00:00+01:00,5.7000000000000455,99620,3
2022-03-09T19:00:00+01:00,11.700000000000045,100190,3
2022-04-16T17:00:00+02:00,22.5,100250,4
2022-11-25T07:00:00+01:00,7,100130,11
2022-08-10T05:00:00+02:00,20,99880,8
2022-08-14T02:00:00+02:00,27.200000000000045,99180,8
2022-08-17T02:00:00+02:00,18,99310,8
2022-08-20T23:00:00+02:00,24.30000000000001,100050,8
2022-08-21T17:00:00+02:00,28.30000000000001,99890,8
2022-08-01T08:00:00+02:00,20.700000000000045,100210,8
2022-12-20T16:00:00+01:00,14.600000000000023,99910,12
2022-12-22T22:00:00+01:00,14.700000000000045,100350,12
2022-01-29T04:00:00+01:00,1,101900,1
2022-09-15T05:00:00+02:00,19.30000000000001,99340,9
2022-09-22T14:00:00+02:00,23.80000000000001,100150,9
2022-11-10T07:00:00+01:00,9.900000000000034,100800,11
2022-10-22T20:00:00+02:00,21.80000000000001,99490,10
2022-10-19T17:00:00+02:00,22.700000000000045,99790,10
2022-03-14T04:00:00+01:00,4.300000000000011,100260,3
2022-11-21T19:00:00+01:00,10.400000000000034,98770,11
2022-11-21T22:00:00+01:00,8.400000000000034,98860,11
2022-03-21T01:00:00+01:00,11.900000000000034,100670,3
2022-12-16T13:00:00+01:00,11.800000000000011,98950,12
2022-12-14T10:00:00+01:00,10.100000000000023,98600,12
2022-01-27T16:00:00+01:00,5.400000000000034,101340,1
2022-04-08T11:00:00+02:00,16.80000000000001,99370,4
2022-12-17T01:00:00+01:00,6.300000000000011,99820,12
2022-04-13T08:00:00+02:00,12.5,99650,4
2022-04-15T14:00:00+02:00,17,100570,4
2022-09-13T17:00:00+02:00,28.900000000000034,98910,9
2022-04-16T20:00:00+02:00,21.600000000000023,100200,4
2022-10-26T02:00:00+02:00,14.900000000000034,99890,10
2022-11-03T01:00:00+01:00,13.800000000000011,100100,11
2022-04-06T02:00:00+02:00,8.800000000000011,99670,4
2022-11-12T16:00:00+01:00,20.80000000000001,100670,11
2022-11-22T19:00:00+01:00,9.200000000000045,98880,11
2022-11-13T13:00:00+01:00,19.400000000000034,100090,11
2022-05-01T11:00:00+02:00,13.300000000000011,100360,5
2022-12-28T13:00:00+01:00,13.100000000000023,100370,12
2022-11-09T04:00:00+01:00,12.900000000000034,99530,11
2022-12-24T22:00:00+01:00,10.300000000000011,99990,12
2022-09-14T17:00:00+02:00,30.30000000000001,98890,9
2022-12-10T07:00:00+01:00,1.400000000000034,99160,12
2022-12-17T13:00:00+01:00,6.800000000000011,100190,12
2022-11-19T13:00:00+01:00,9.200000000000045,99730,11
2022-04-10T11:00:00+02:00,13,100110,4
2022-12-11T01:00:00+01:00,-3.6999999999999886,99560,12
2022-04-09T08:00:00+02:00,8.200000000000045,99980,4
2022-04-11T20:00:00+02:00,12.600000000000023,99140,4
2022-04-12T05:00:00+02:00,12.300000000000011,99000,4
2022-04-13T11:00:00+02:00,12.400000000000034,99800,4
2022-04-15T20:00:00+02:00,20.400000000000034,100380,4
2022-05-15T20:00:00+02:00,23.100000000000023,99470,5
2022-04-18T11:00:00+02:00,13.100000000000023,100160,4
2022-05-24T23:00:00+02:00,12.800000000000011,99890,5
2022-05-26T17:00:00+02:00,18.80000000000001,100880,5
2022-05-27T20:00:00+02:00,24.200000000000045,100390,5
2022-04-09T17:00:00+02:00,14.300000000000011,100080,4
2022-03-22T13:00:00+01:00,14.900000000000034,100750,3
